CO_MUNICIPIO,NO_MUNICIPIO,SG_UF,MES_REFERENCIA,QT_FAMILIAS_POBREZA_FAIXA_PBF,QT_FAMILIAS_ATE_MEIO_SM,QT_FAMILIAS_ACIMA_MEIO_SM
120001,ACRELÂNDIA,AC,08/2026,1911,2864,1444
120005,ASSIS BRASIL,AC,08/2026,1830,2385,558
120010,BRASILÉIA,AC,08/2026,5087,6309,2006
120013,BUJARI,AC,08/2026,1757,2703,1135
120017,CAPIXABA,AC,08/2026,1768,2460,1289
120020,CRUZEIRO DO SUL,AC,08/2026,13266,17567,4186
120025,EPITACIOLÂNDIA,AC,08/2026,2412,3476,1335
120030,FEIJÓ,AC,08/2026,5446,7470,1315
120032,JORDÃO,AC,08/2026,1660,2014,345
120033,MÂNCIO LIMA,AC,08/2026,4570,5357,895
120034,MANOEL URBANO,AC,08/2026,2436,3130,981
120035,MARECHAL THAUMATURGO,AC,08/2026,3372,4135,811
120038,PLÁCIDO DE CASTRO,AC,08/2026,1860,2792,1294
120039,PORTO WALTER,AC,08/2026,2195,2578,441
120040,RIO BRANCO,AC,08/2026,39639,57364,26791
120042,RODRIGUES ALVES,AC,08/2026,2819,3537,786
120043,SANTA ROSA DO PURUS,AC,08/2026,1019,1340,421
120045,SENADOR GUIOMARD,AC,08/2026,3003,4173,1939
120050,SENA MADUREIRA,AC,08/2026,8496,10944,2681
120060,TARAUACÁ,AC,08/2026,8451,10622,2338
120070,XAPURI,AC,08/2026,2546,3649,1364
120080,PORTO ACRE,AC,08/2026,4334,5293,1920
270010,ÁGUA BRANCA,AL,08/2026,2844,3889,1526
270020,ANADIA,AL,08/2026,3627,4221,1253
270030,ARAPIRACA,AL,08/2026,26095,35566,13396
270040,ATALAIA,AL,08/2026,5831,7806,3254
270050,BARRA DE SANTO ANTÔNIO,AL,08/2026,4065,4689,1583
270060,BARRA DE SÃO MIGUEL,AL,08/2026,1185,1756,819
270070,BATALHA,AL,08/2026,4622,5271,1374
270080,BELÉM,AL,08/2026,715,984,571
270090,BELO MONTE,AL,08/2026,1703,1929,453
270100,BOCA DA MATA,AL,08/2026,4690,5679,2088
270110,BRANQUINHA,AL,08/2026,1746,2356,1185
270120,CACIMBINHAS,AL,08/2026,1574,2195,694
270130,CAJUEIRO,AL,08/2026,3570,4414,1737
270135,CAMPESTRE,AL,08/2026,1361,1668,630
270140,CAMPO ALEGRE,AL,08/2026,5263,6649,3066
270150,CAMPO GRANDE,AL,08/2026,2844,3093,629
270160,CANAPI,AL,08/2026,3535,4314,912
270170,CAPELA,AL,08/2026,1743,2522,1073
270180,CARNEIROS,AL,08/2026,2123,2535,716
270190,CHÃ PRETA,AL,08/2026,2180,2384,633
270200,COITÉ DO NÓIA,AL,08/2026,2026,2549,907
270210,COLÔNIA LEOPOLDINA,AL,08/2026,4576,5163,1401
270220,COQUEIRO SECO,AL,08/2026,932,1257,536
270230,CORURIPE,AL,08/2026,8856,11133,4567
270235,CRAÍBAS,AL,08/2026,5489,6703,2109
270240,DELMIRO GOUVEIA,AL,08/2026,7994,10798,4762
270250,DOIS RIACHOS,AL,08/2026,2629,3153,1136
270255,ESTRELA DE ALAGOAS,AL,08/2026,3420,4153,1744
270260,FEIRA GRANDE,AL,08/2026,4627,5616,1368
270270,FELIZ DESERTO,AL,08/2026,666,893,373
270280,FLEXEIRAS,AL,08/2026,2082,2808,1488
270290,GIRAU DO PONCIANO,AL,08/2026,7624,8821,1862
270300,IBATEGUARA,AL,08/2026,2445,3116,1409
270310,IGACI,AL,08/2026,4162,5538,2086
270320,IGREJA NOVA,AL,08/2026,3639,4873,2191
270330,INHAPI,AL,08/2026,4000,4720,1334
270340,JACARÉ DOS HOMENS,AL,08/2026,1305,1510,583
270350,JACUÍPE,AL,08/2026,1112,1447,758
270360,JAPARATINGA,AL,08/2026,2878,3288,966
270370,JARAMATAIA,AL,08/2026,983,1275,382
270375,JEQUIÁ DA PRAIA,AL,08/2026,2736,3203,1021
270380,JOAQUIM GOMES,AL,08/2026,4346,5216,1981
270390,JUNDIÁ,AL,08/2026,951,1136,453
270400,JUNQUEIRO,AL,08/2026,3451,5008,1933
270410,LAGOA DA CANOA,AL,08/2026,3785,4777,1705
270420,LIMOEIRO DE ANADIA,AL,08/2026,6209,7212,1682
270430,MACEIÓ,AL,08/2026,107676,151186,81176
270440,MAJOR ISIDORO,AL,08/2026,2799,3777,1506
270450,MARAGOGI,AL,08/2026,6292,7744,2201
270460,MARAVILHA,AL,08/2026,2552,3036,1393
270470,MARECHAL DEODORO,AL,08/2026,8845,11610,4639
270480,MARIBONDO,AL,08/2026,1970,2599,1125
270490,MAR VERMELHO,AL,08/2026,529,730,271
270500,MATA GRANDE,AL,08/2026,4098,4803,988
270510,MATRIZ DE CAMARAGIBE,AL,08/2026,4205,5258,1912
270520,MESSIAS,AL,08/2026,2001,3084,1520
270530,MINADOR DO NEGRÃO,AL,08/2026,1074,1302,548
270540,MONTEIRÓPOLIS,AL,08/2026,1628,1996,686
270550,MURICI,AL,08/2026,3641,5242,2656
270560,NOVO LINO,AL,08/2026,2233,2702,1071
270570,OLHO DÁGUA DAS FLORES,AL,08/2026,3670,4548,1802
270580,OLHO DÁGUA DO CASADO,AL,08/2026,2134,2549,903
270590,OLHO DÁGUA GRANDE,AL,08/2026,1119,1312,260
270600,OLIVENÇA,AL,08/2026,2447,2873,639
270610,OURO BRANCO,AL,08/2026,2689,3233,819
270620,PALESTINA,AL,08/2026,997,1207,439
270630,PALMEIRA DOS ÍNDIOS,AL,08/2026,13946,17041,5484
270640,PÃO DE AÇÚCAR,AL,08/2026,3867,5061,1980
270642,PARICONHA,AL,08/2026,2044,2814,1035
270644,PARIPUEIRA,AL,08/2026,2344,3294,1085
270650,PASSO DE CAMARAGIBE,AL,08/2026,2493,3227,1256
270660,PAULO JACINTO,AL,08/2026,1371,1731,520
270670,PENEDO,AL,08/2026,12580,15894,7321
270680,PIAÇABUÇU,AL,08/2026,5570,6079,1502
270690,PILAR,AL,08/2026,6605,8557,4003
270700,PINDOBA,AL,08/2026,382,508,212
270710,PIRANHAS,AL,08/2026,4341,5666,1838
270720,POÇO DAS TRINCHEIRAS,AL,08/2026,2944,3515,993
270730,PORTO CALVO,AL,08/2026,4182,5420,2260
270740,PORTO DE PEDRAS,AL,08/2026,1804,2267,709
270750,PORTO REAL DO COLÉGIO,AL,08/2026,5032,5816,1381
270760,QUEBRANGULO,AL,08/2026,2002,2628,1043
270770,RIO LARGO,AL,08/2026,13088,18461,10357
270780,ROTEIRO,AL,08/2026,1573,1903,533
270790,SANTA LUZIA DO NORTE,AL,08/2026,1423,1693,631
270800,SANTANA DO IPANEMA,AL,08/2026,7853,10042,3704
270810,SANTANA DO MUNDAÚ,AL,08/2026,2088,2722,1354
270820,SÃO BRÁS,AL,08/2026,1419,1760,574
270830,SÃO JOSÉ DA LAJE,AL,08/2026,3007,3920,1828
270840,SÃO JOSÉ DA TAPERA,AL,08/2026,5473,7127,2468
270850,SÃO LUÍS DO QUITUNDE,AL,08/2026,6030,7150,2162
270860,SÃO MIGUEL DOS CAMPOS,AL,08/2026,8675,11117,5466
270870,SÃO MIGUEL DOS MILAGRES,AL,08/2026,1500,2060,1047
270880,SÃO SEBASTIÃO,AL,08/2026,6298,7835,2596
270890,SATUBA,AL,08/2026,2154,3217,1430
270895,SENADOR RUI PALMEIRA,AL,08/2026,2834,3430,960
270900,TANQUE DARCA,AL,08/2026,996,1283,536
270910,TAQUARANA,AL,08/2026,3574,4463,1615
270915,TEOTÔNIO VILELA,AL,08/2026,5802,7975,3821
270920,TRAIPU,AL,08/2026,4105,5390,1996
270930,UNIÃO DOS PALMARES,AL,08/2026,9646,13383,7068
270940,VIÇOSA,AL,08/2026,4599,5697,2055
130002,ALVARÃES,AM,08/2026,3107,3940,943
130006,AMATURÁ,AM,08/2026,2410,3232,1175
130008,ANAMÃ,AM,08/2026,2583,3129,776
130010,ANORI,AM,08/2026,4124,4621,1224
130014,APUÍ,AM,08/2026,1901,3002,1800
130020,ATALAIA DO NORTE,AM,08/2026,1721,2626,829
130030,AUTAZES,AM,08/2026,15834,17670,4142
130040,BARCELOS,AM,08/2026,2998,4054,1305
130050,BARREIRINHA,AM,08/2026,5545,7196,1681
130060,BENJAMIN CONSTANT,AM,08/2026,7176,8892,1974
130063,BERURI,AM,08/2026,5506,6251,1437
130068,BOA VISTA DO RAMOS,AM,08/2026,3596,4330,913
130070,BOCA DO ACRE,AM,08/2026,5879,7506,2416
130080,BORBA,AM,08/2026,6287,7781,1847
130083,CAAPIRANGA,AM,08/2026,2345,2895,792
130090,CANUTAMA,AM,08/2026,2991,3878,1240
130100,CARAUARI,AM,08/2026,5899,7292,1701
130110,CAREIRO,AM,08/2026,5308,7097,3052
130115,CAREIRO DA VÁRZEA,AM,08/2026,4065,5157,1535
130120,COARI,AM,08/2026,14003,17520,4706
130130,CODAJÁS,AM,08/2026,3745,5032,1652
130140,EIRUNEPÉ,AM,08/2026,5882,7477,1727
130150,ENVIRA,AM,08/2026,4003,4791,952
130160,FONTE BOA,AM,08/2026,7007,7851,1137
130165,GUAJARÁ,AM,08/2026,3135,3830,539
130170,HUMAITÁ,AM,08/2026,12052,14233,5531
130180,IPIXUNA,AM,08/2026,4732,5228,491
130185,IRANDUBA,AM,08/2026,13542,16840,6174
130190,ITACOATIARA,AM,08/2026,13608,19360,7287
130195,ITAMARATI,AM,08/2026,1921,2636,511
130200,ITAPIRANGA,AM,08/2026,1757,2527,1184
130210,JAPURÁ,AM,08/2026,1334,1842,484
130220,JURUÁ,AM,08/2026,2915,3230,949
130230,JUTAÍ,AM,08/2026,4587,5801,929
130240,LÁBREA,AM,08/2026,12228,14105,4156
130250,MANACAPURU,AM,08/2026,19233,25021,6477
130255,MANAQUIRI,AM,08/2026,3928,4720,1837
130260,MANAUS,AM,08/2026,262809,362470,155863
130270,MANICORÉ,AM,08/2026,7095,10191,3407
130280,MARAÃ,AM,08/2026,2794,3671,685
130290,MAUÉS,AM,08/2026,13876,16021,4974
130300,NHAMUNDÁ,AM,08/2026,4145,4965,1587
130310,NOVA OLINDA DO NORTE,AM,08/2026,5528,6958,2268
130320,NOVO AIRÃO,AM,08/2026,1998,3170,1252
130330,NOVO ARIPUANÃ,AM,08/2026,3890,4727,1477
130340,PARINTINS,AM,08/2026,20299,24654,6923
130350,PAUINI,AM,08/2026,2912,3851,628
130353,PRESIDENTE FIGUEIREDO,AM,08/2026,5052,6790,3148
130356,RIO PRETO DA EVA,AM,08/2026,3038,4406,1501
130360,SANTA ISABEL DO RIO NEGRO,AM,08/2026,2274,2887,681
130370,SANTO ANTÔNIO DO IÇÁ,AM,08/2026,3524,5575,1322
130380,SÃO GABRIEL DA CACHOEIRA,AM,08/2026,7580,10184,1635
130390,SÃO PAULO DE OLIVENÇA,AM,08/2026,7005,8456,1926
130395,SÃO SEBASTIÃO DO UATUMÃ,AM,08/2026,2354,2777,870
130400,SILVES,AM,08/2026,2011,2580,911
130406,TABATINGA,AM,08/2026,9793,13437,3562
130410,TAPAUÁ,AM,08/2026,4014,5449,1487
130420,TEFÉ,AM,08/2026,11395,15971,5321
130423,TONANTINS,AM,08/2026,3357,4337,916
130426,UARINI,AM,08/2026,3849,4258,978
130430,URUCARÁ,AM,08/2026,3487,4262,1354
130440,URUCURITUBA,AM,08/2026,4735,5411,1436
160005,SERRA DO NAVIO,AP,08/2026,733,977,554
160010,AMAPÁ,AP,08/2026,1954,2297,574
160015,PEDRA BRANCA DO AMAPARI,AP,08/2026,2439,3013,1077
160020,CALÇOENE,AP,08/2026,1891,2460,858
160021,CUTIAS,AP,08/2026,943,1264,500
160023,FERREIRA GOMES,AP,08/2026,863,1282,561
160025,ITAUBAL,AP,08/2026,2352,2568,680
160027,LARANJAL DO JARI,AP,08/2026,7057,8843,3689
160030,MACAPÁ,AP,08/2026,68625,89753,35563
160040,MAZAGÃO,AP,08/2026,5070,6364,1897
160050,OIAPOQUE,AP,08/2026,6605,8844,3095
160053,PORTO GRANDE,AP,08/2026,3658,4525,1760
160055,PRACUÚBA,AP,08/2026,1163,1309,267
160060,SANTANA,AP,08/2026,17260,23815,9998
160070,TARTARUGALZINHO,AP,08/2026,2745,3502,1376
160080,VITÓRIA DO JARI,AP,08/2026,2223,2898,844
290010,ABAÍRA,BA,08/2026,1678,2043,1312
290020,ABARÉ,BA,08/2026,4015,4911,1286
290030,ACAJUTIBA,BA,08/2026,2998,3691,1395
290035,ADUSTINA,BA,08/2026,3193,3902,1412
290040,ÁGUA FRIA,BA,08/2026,4826,5366,1832
290050,ÉRICO CARDOSO,BA,08/2026,1295,1751,831
290060,AIQUARA,BA,08/2026,851,1110,694
290070,ALAGOINHAS,BA,08/2026,23669,31030,14172
290080,ALCOBAÇA,BA,08/2026,4395,5995,2702
290090,ALMADINA,BA,08/2026,1320,1520,1022
290100,AMARGOSA,BA,08/2026,4865,7538,3813
290110,AMÉLIA RODRIGUES,BA,08/2026,2860,4330,2383
290115,AMÉRICA DOURADA,BA,08/2026,2807,3741,1428
290120,ANAGÉ,BA,08/2026,5585,6453,2534
290130,ANDARAÍ,BA,08/2026,2415,3166,1452
290135,ANDORINHA,BA,08/2026,3317,3983,2196
290140,ANGICAL,BA,08/2026,2756,3286,1513
290150,ANGUERA,BA,08/2026,2188,2589,1120
290160,ANTAS,BA,08/2026,2728,3160,857
290170,ANTÔNIO CARDOSO,BA,08/2026,2445,2952,1138
290180,ANTÔNIO GONÇALVES,BA,08/2026,2101,2514,1012
290190,APORÁ,BA,08/2026,3962,4630,1196
290195,APUAREMA,BA,08/2026,1542,1926,903
290200,ARACATU,BA,08/2026,2260,3149,1972
290205,ARAÇÁS,BA,08/2026,3091,3742,1376
290210,ARACI,BA,08/2026,11736,14073,4312
290220,ARAMARI,BA,08/2026,2430,2998,1264
290225,ARATACA,BA,08/2026,1871,2216,1208
290230,ARATUÍPE,BA,08/2026,2742,3181,612
290240,AURELINO LEAL,BA,08/2026,2612,3259,1285
290250,BAIANÓPOLIS,BA,08/2026,2553,3166,1330
290260,BAIXA GRANDE,BA,08/2026,4088,4809,1716
290265,BANZAÊ,BA,08/2026,1747,2588,1272
290270,BARRA,BA,08/2026,8612,10812,2959
290280,BARRA DA ESTIVA,BA,08/2026,4032,5406,1939
290290,BARRA DO CHOÇA,BA,08/2026,4289,7374,4301
290300,BARRA DO MENDES,BA,08/2026,2650,3304,1758
290310,BARRA DO ROCHA,BA,08/2026,1942,2107,942
290320,BARREIRAS,BA,08/2026,17045,25097,12804
290323,BARRO ALTO,BA,08/2026,2897,3549,1519
290327,BARROCAS,BA,08/2026,3263,4109,1805
290330,BARRO PRETO,BA,08/2026,1978,2167,860
290340,BELMONTE,BA,08/2026,4074,5051,2419
290350,BELO CAMPO,BA,08/2026,3334,4381,2048
290360,BIRITINGA,BA,08/2026,4141,4792,1756
290370,BOA NOVA,BA,08/2026,3171,3727,1984
290380,BOA VISTA DO TUPIM,BA,08/2026,4046,4765,1982
290390,BOM JESUS DA LAPA,BA,08/2026,9361,13117,5244
290395,BOM JESUS DA SERRA,BA,08/2026,2057,2696,1349
290400,BONINAL,BA,08/2026,2178,2818,1325
290405,BONITO,BA,08/2026,2843,3978,1464
290410,BOQUIRA,BA,08/2026,3599,4611,2442
290420,BOTUPORÃ,BA,08/2026,1771,2395,1185
290430,BREJÕES,BA,08/2026,2792,3354,1395
290440,BREJOLÂNDIA,BA,08/2026,1385,1895,1078
290450,BROTAS DE MACAÚBAS,BA,08/2026,2493,2908,1332
290460,BRUMADO,BA,08/2026,5316,9898,6934
290470,BUERAREMA,BA,08/2026,2793,3649,1965
290475,BURITIRAMA,BA,08/2026,4958,5970,2162
290480,CAATIBA,BA,08/2026,1237,1581,939
290485,CABACEIRAS DO PARAGUAÇU,BA,08/2026,3562,4406,1124
290490,CACHOEIRA,BA,08/2026,7036,8605,2561
290500,CACULÉ,BA,08/2026,1878,3243,1990
290510,CAÉM,BA,08/2026,2937,3286,1043
290515,CAETANOS,BA,08/2026,2452,3013,1031
290520,CAETITÉ,BA,08/2026,7585,10400,4866
290530,CAFARNAUM,BA,08/2026,3685,4463,1476
290540,CAIRU,BA,08/2026,3985,4895,1142
290550,CALDEIRÃO GRANDE,BA,08/2026,4100,4392,1096
290560,CAMACAN,BA,08/2026,3161,4624,3040
290570,CAMAÇARI,BA,08/2026,45505,58467,25423
290580,CAMAMU,BA,08/2026,6185,7978,2516
290590,CAMPO ALEGRE DE LOURDES,BA,08/2026,5172,6466,2076
290600,CAMPO FORMOSO,BA,08/2026,13811,17523,7411
290610,CANÁPOLIS,BA,08/2026,1575,2059,865
290620,CANARANA,BA,08/2026,4801,5881,2137
290630,CANAVIEIRAS,BA,08/2026,6941,8739,3328
290640,CANDEAL,BA,08/2026,1665,1986,1025
290650,CANDEIAS,BA,08/2026,13538,16308,5513
290660,CANDIBA,BA,08/2026,1993,2753,1530
290670,CÂNDIDO SALES,BA,08/2026,6316,7451,3623
290680,CANSANÇÃO,BA,08/2026,8164,10033,3712
290682,CANUDOS,BA,08/2026,3851,4665,1418
290685,CAPELA DO ALTO ALEGRE,BA,08/2026,2046,2644,1607
290687,CAPIM GROSSO,BA,08/2026,4825,6864,2767
290689,CARAÍBAS,BA,08/2026,1530,2153,1398
290690,CARAVELAS,BA,08/2026,3578,4809,2524
290700,CARDEAL DA SILVA,BA,08/2026,2521,2879,1026
290710,CARINHANHA,BA,08/2026,7235,8626,3001
290720,CASA NOVA,BA,08/2026,15679,19542,5866
290730,CASTRO ALVES,BA,08/2026,4572,6051,2343
290740,CATOLÂNDIA,BA,08/2026,690,828,350
290750,CATU,BA,08/2026,9880,12089,5752
290755,CATURAMA,BA,08/2026,1130,1577,791
290760,CENTRAL,BA,08/2026,2957,3929,1941
290770,CHORROCHÓ,BA,08/2026,2702,3063,889
290780,CÍCERO DANTAS,BA,08/2026,4895,6374,2750
290790,CIPÓ,BA,08/2026,3558,4367,1726
290800,COARACI,BA,08/2026,3651,4568,2828
290810,COCOS,BA,08/2026,3371,4223,1967
290820,CONCEIÇÃO DA FEIRA,BA,08/2026,3517,4617,1990
290830,CONCEIÇÃO DO ALMEIDA,BA,08/2026,2608,3494,1526
290840,CONCEIÇÃO DO COITÉ,BA,08/2026,10578,15540,6817
290850,CONCEIÇÃO DO JACUÍPE,BA,08/2026,6232,7957,3431
290860,CONDE,BA,08/2026,5681,6739,2111
290870,CONDEÚBA,BA,08/2026,2872,3827,2297
290880,CONTENDAS DO SINCORÁ,BA,08/2026,775,1158,569
290890,CORAÇÃO DE MARIA,BA,08/2026,6404,7584,2526
290900,CORDEIROS,BA,08/2026,1140,1681,1056
290910,CORIBE,BA,08/2026,3467,4052,1830
290920,CORONEL JOÃO SÁ,BA,08/2026,3222,4193,1179
290930,CORRENTINA,BA,08/2026,4562,6009,2732
290940,COTEGIPE,BA,08/2026,2671,3160,1303
290950,CRAVOLÂNDIA,BA,08/2026,937,1213,605
290960,CRISÓPOLIS,BA,08/2026,4488,5475,1568
290970,CRISTÓPOLIS,BA,08/2026,2061,2696,1086
290980,CRUZ DAS ALMAS,BA,08/2026,10403,13415,5426
290990,CURAÇÁ,BA,08/2026,7687,9371,2859
291000,DÁRIO MEIRA,BA,08/2026,1944,2507,1173
291005,DIAS DÁVILA,BA,08/2026,11816,15011,5953
291010,DOM BASÍLIO,BA,08/2026,1716,2480,1354
291020,DOM MACEDO COSTA,BA,08/2026,788,1085,507
291030,ELÍSIO MEDRADO,BA,08/2026,1227,1702,683
291040,ENCRUZILHADA,BA,08/2026,3797,4817,2278
291050,ENTRE RIOS,BA,08/2026,8386,10192,3826
291060,ESPLANADA,BA,08/2026,6301,7887,2851
291070,EUCLIDES DA CUNHA,BA,08/2026,13305,15941,5998
291072,EUNÁPOLIS,BA,08/2026,13031,20010,14252
291075,FÁTIMA,BA,08/2026,3751,4783,1429
291077,FEIRA DA MATA,BA,08/2026,850,1316,799
291080,FEIRA DE SANTANA,BA,08/2026,81693,115631,60056
291085,FILADÉLFIA,BA,08/2026,4364,5139,2117
291090,FIRMINO ALVES,BA,08/2026,1110,1400,747
291100,FLORESTA AZUL,BA,08/2026,1877,2293,1439
291110,FORMOSA DO RIO PRETO,BA,08/2026,3837,5114,2038
291120,GANDU,BA,08/2026,5049,6523,2511
291125,GAVIÃO,BA,08/2026,1424,1649,630
291130,GENTIO DO OURO,BA,08/2026,1890,2434,1195
291140,GLÓRIA,BA,08/2026,2206,3266,2507
291150,GONGOGI,BA,08/2026,1971,2169,1124
291160,GOVERNADOR MANGABEIRA,BA,08/2026,2901,4191,2069
291165,GUAJERU,BA,08/2026,1032,1442,1056
291170,GUANAMBI,BA,08/2026,11943,17967,10756
291180,GUARATINGA,BA,08/2026,5322,5978,2895
291185,HELIÓPOLIS,BA,08/2026,2736,3241,1034
291190,IAÇU,BA,08/2026,4330,5898,2373
291200,IBIASSUCÊ,BA,08/2026,1124,1792,1342
291210,IBICARAÍ,BA,08/2026,4966,5964,3476
291220,IBICOARA,BA,08/2026,3207,4464,1805
291230,IBICUÍ,BA,08/2026,2850,3448,1680
291240,IBIPEBA,BA,08/2026,2991,3648,1547
291250,IBIPITANGA,BA,08/2026,1648,2576,1365
291260,IBIQUERA,BA,08/2026,1264,1409,507
291270,IBIRAPITANGA,BA,08/2026,3413,4542,2071
291280,IBIRAPUÃ,BA,08/2026,1443,2019,1309
291290,IBIRATAIA,BA,08/2026,3004,4100,2353
291300,IBITIARA,BA,08/2026,2379,3111,1455
291310,IBITITÁ,BA,08/2026,4218,5090,1781
291320,IBOTIRAMA,BA,08/2026,4796,6166,2583
291330,ICHU,BA,08/2026,1260,1631,714
291340,IGAPORÃ,BA,08/2026,2427,3347,1714
291345,IGRAPIÚNA,BA,08/2026,2327,2910,863
291350,IGUAÍ,BA,08/2026,4125,5184,2599
291360,ILHÉUS,BA,08/2026,19603,30219,17378
291370,INHAMBUPE,BA,08/2026,6382,7997,2692
291380,IPECAETÁ,BA,08/2026,3550,4249,1565
291390,IPIAÚ,BA,08/2026,8457,10215,5674
291400,IPIRÁ,BA,08/2026,11258,14387,6680
291410,IPUPIARA,BA,08/2026,2122,2584,1358
291420,IRAJUBA,BA,08/2026,1299,1521,820
291430,IRAMAIA,BA,08/2026,1829,2304,888
291440,IRAQUARA,BA,08/2026,4692,6202,2396
291450,IRARÁ,BA,08/2026,8547,9694,2642
291460,IRECÊ,BA,08/2026,12895,16668,6645
291465,ITABELA,BA,08/2026,5607,6946,2798
291470,ITABERABA,BA,08/2026,13611,17024,7163
291480,ITABUNA,BA,08/2026,21237,31596,19360
291490,ITACARÉ,BA,08/2026,5387,6595,2195
291500,ITAETÉ,BA,08/2026,4068,4574,1584
291510,ITAGI,BA,08/2026,3509,4053,1883
291520,ITAGIBÁ,BA,08/2026,2813,3633,2060
291530,ITAGIMIRIM,BA,08/2026,1126,1515,999
291535,ITAGUAÇU DA BAHIA,BA,08/2026,2591,3582,1728
291540,ITAJU DO COLÔNIA,BA,08/2026,1386,1635,869
291550,ITAJUÍPE,BA,08/2026,3917,4871,2744
291560,ITAMARAJU,BA,08/2026,7589,12129,8470
291570,ITAMARI,BA,08/2026,1478,1782,782
291580,ITAMBÉ,BA,08/2026,3079,4523,3082
291590,ITANAGRA,BA,08/2026,1966,2272,856
291600,ITANHÉM,BA,08/2026,2869,3806,2209
291610,ITAPARICA,BA,08/2026,5236,6168,2332
291620,ITAPÉ,BA,08/2026,1549,2002,896
291630,ITAPEBI,BA,08/2026,1994,2354,1361
291640,ITAPETINGA,BA,08/2026,10131,14131,9136
291650,ITAPICURU,BA,08/2026,7291,8799,2704
291660,ITAPITANGA,BA,08/2026,1064,1438,898
291670,ITAQUARA,BA,08/2026,1221,1654,734
291680,ITARANTIM,BA,08/2026,2440,3376,1580
291685,ITATIM,BA,08/2026,3131,4053,1647
291690,ITIRUÇU,BA,08/2026,2521,3050,1505
291700,ITIÚBA,BA,08/2026,8504,9742,2976
291710,ITORORÓ,BA,08/2026,3321,4271,2367
291720,ITUAÇU,BA,08/2026,2987,4040,1453
291730,ITUBERÁ,BA,08/2026,5820,6699,1894
291733,IUIU,BA,08/2026,1939,2533,1234
291735,JABORANDI,BA,08/2026,1384,1904,1047
291740,JACARACI,BA,08/2026,2195,2922,2237
291750,JACOBINA,BA,08/2026,15916,19390,8230
291760,JAGUAQUARA,BA,08/2026,4806,8755,5192
291770,JAGUARARI,BA,08/2026,5340,6840,3456
291780,JAGUARIPE,BA,08/2026,4560,5368,1219
291790,JANDAÍRA,BA,08/2026,2176,2677,744
291800,JEQUIÉ,BA,08/2026,19234,29081,17144
291810,JEREMOABO,BA,08/2026,8400,10001,3292
291820,JIQUIRIÇÁ,BA,08/2026,2693,3481,1125
291830,JITAÚNA,BA,08/2026,3361,3943,1801
291835,JOÃO DOURADO,BA,08/2026,3808,5641,2328
291840,JUAZEIRO,BA,08/2026,38468,50416,17347
291845,JUCURUÇU,BA,08/2026,2134,2589,1110
291850,JUSSARA,BA,08/2026,4093,4646,1666
291855,JUSSARI,BA,08/2026,1475,1705,857
291860,JUSSIAPE,BA,08/2026,1191,1578,1062
291870,LAFAIETE COUTINHO,BA,08/2026,531,858,765
291875,LAGOA REAL,BA,08/2026,1970,2683,1097
291880,LAJE,BA,08/2026,4457,5366,1542
291890,LAJEDÃO,BA,08/2026,736,1009,952
291900,LAJEDINHO,BA,08/2026,769,973,416
291905,LAJEDO DO TABOCAL,BA,08/2026,1201,1585,616
291910,LAMARÃO,BA,08/2026,2651,3058,1120
291915,LAPÃO,BA,08/2026,4980,6539,2477
291920,LAURO DE FREITAS,BA,08/2026,26596,34849,13623
291930,LENÇÓIS,BA,08/2026,1683,2258,967
291940,LICÍNIO DE ALMEIDA,BA,08/2026,1581,2372,1753
291950,LIVRAMENTO DE NOSSA SENHORA,BA,08/2026,5511,7974,3325
291955,LUÍS EDUARDO MAGALHÃES,BA,08/2026,14725,19344,7272
291960,MACAJUBA,BA,08/2026,2703,3196,1280
291970,MACARANI,BA,08/2026,3107,3957,2161
291980,MACAÚBAS,BA,08/2026,6516,8613,3804
291990,MACURURÉ,BA,08/2026,1728,2030,567
291992,MADRE DE DEUS,BA,08/2026,2945,3641,1573
291995,MAETINGA,BA,08/2026,1744,2095,1029
292000,MAIQUINIQUE,BA,08/2026,1823,2151,1159
292010,MAIRI,BA,08/2026,4285,4947,1697
292020,MALHADA,BA,08/2026,3731,4526,1574
292030,MALHADA DE PEDRAS,BA,08/2026,1424,1954,896
292040,MANOEL VITORINO,BA,08/2026,2973,3783,1837
292045,MANSIDÃO,BA,08/2026,3070,3473,1086
292050,MARACÁS,BA,08/2026,3839,5475,2869
292060,MARAGOGIPE,BA,08/2026,11128,12731,2654
292070,MARAÚ,BA,08/2026,5810,6906,1938
292080,MARCIONÍLIO SOUZA,BA,08/2026,2903,3281,1081
292090,MASCOTE,BA,08/2026,2637,3238,1961
292100,MATA DE SÃO JOÃO,BA,08/2026,7140,9822,5331
292105,MATINA,BA,08/2026,1886,2503,1013
292110,MEDEIROS NETO,BA,08/2026,3332,4674,2891
292120,MIGUEL CALMON,BA,08/2026,3941,5181,2408
292130,MILAGRES,BA,08/2026,2082,2686,1164
292140,MIRANGABA,BA,08/2026,4691,5266,2066
292145,MIRANTE,BA,08/2026,1931,2467,1079
292150,MONTE SANTO,BA,08/2026,13126,15595,5580
292160,MORPARÁ,BA,08/2026,1567,2013,946
292170,MORRO DO CHAPÉU,BA,08/2026,4159,6174,2854
292180,MORTUGABA,BA,08/2026,1360,2099,1366
292190,MUCUGÊ,BA,08/2026,2063,2604,1040
292200,MUCURI,BA,08/2026,2778,5582,4372
